Date,Average of Water heights in meter,Station,Name of river,Subdistrict,District,Province
2022-01-02,10.22,Ban Pha Khwang,แม่น้ำน่าน,บ่อ,เมือง,น่าน
2022-01-02,6.51,Ban Phai Ngarm,แม่น้ำน่าน,ส้าน,เวียงสา,น่าน
2022-01-02,4.34625,Ban Phan Ton,น้ำแม่วาง,ทุ่งปี้,แม่วาง,เชียงใหม่
2022-01-02,4.7,Ban Phi Tai,น้ำปี้,บ้านพี้,บ้านหลวง,น่าน
2022-01-02,6.629166667,Ban Pong,น้ำแม่กวง,บวกค้าง,สันกำแพง,เชียงใหม่
2022-01-02,4.643333333,Ban Pong,ห้วยโป่ง,บ้านโป่ง,งาว,ลำปาง
2022-01-02,4.11,Ban Rong Kho,แม่น้ำวัง,ร่องเคาะ,วังเหนือ,ลำปาง
2022-01-02,3.04,Ban Saluang Nok,น้ำแม่ริม,สลวง,แม่ริม,เชียงใหม่
2022-01-02,4.38,Ban San Pu Loei,น้ำแม่ขอด,โหล่งขอด,พร้าว,เชียงใหม่
2022-01-02,3.93,Ban Singpotin,น้ำแม่ลาย,ป่าเมี่ยง,ดอยสะเก็ด,เชียงใหม่
2022-01-02,9.64,Ban Sob Soi,แม่น้ำปิง,แม่สอย,จอมทอง,เชียงใหม่
2022-01-02,5.847916667,Ban Sop Mae Sapoot,แม่น้ำแม่ทา,ทาสบเส้า,แม่ทา,ลำพูน
2022-01-02,7.7,Ban Sop Pae,แม่น้ำปิง,สบแปะ,จอมทอง,เชียงใหม่
2022-01-02,5.54,Ban Sop Prap,แม่น้ำวัง,สบปราบ,สบปราบ,ลำปาง
2022-01-02,5.89,Ban Sop Tam,น้ำแม่ต่ำ,เกาะคา,เกาะคา,ลำปาง
2022-01-02,4.47,Ban Sop Win,น้ำแม่วาง,แม่วิน,แม่วาง,เชียงใหม่
2022-01-02,5.616666667,Ban Tha Duea,แม่น้ำวัง,พิชัย,เมือง,ลำปาง
2022-01-02,5.18,Ban Tha Lo,น้ำแม่ตุ๋ย,บ่อแฮ้ว,เมือง,ลำปาง
2022-01-02,3.83,Ban Tha Pong Daeng,น้ำปาย,ผาบ่อง,เมือง,แม่ฮ่องสอน
2022-01-02,6.830833333,Ban Thung Nong,แม่น้ำยม,สระ,เชียงม่วน,พะเยา
2022-01-02,3.679166667,Ban Ton Yang,น้ำแม่ลาว,บัวสลี,แม่ลาว,เชียงราย
2022-01-02,12.68875,Ban Wang Chin,แม่น้ำยม,วังชิ้น,วังชิ้น,แพร่
2022-01-02,4.88,Chedingam,น้ำอิง,ท่าวังทอง,เมือง,พะเยา
2022-01-02,6.82375,In front of the Forestry Office,แม่น้ำน่าน,ในเวียง,เมือง,น่าน
2022-01-02,5.48,Mae Kham Lak Chet,น้ำแม่คำ,ศรีค้ำ,แม่จัน,เชียงราย
2022-01-02,2.1,Nam Mae Chaem,น้ำแม่แจ่ม,บ้านท่าข้าม,จอมทอง,เชียงใหม่
2022-01-02,5.204583333,Nawarat Bridge,แม่น้ำปิง,วัดเกต,เมือง,เชียงใหม่
2022-01-02,4.5,Pracha Uthit Bridge,น้ำแม่กลาง,บ้านหลวง,จอมทอง,เชียงใหม่
2022-01-02,5.51,Romklao Cooperative House,น้ำแม่งัด,แม่แวน,พร้าว,เชียงใหม่
2022-01-02,4.45,Saphan Ban Khay,น้ำฝาง,แม่นาวาง,แม่อาย,เชียงใหม่
2022-01-02,4.588333333,Setuwaree Bridge,แม้น้ำวัง,เวียงเหนือ,เมือง,ลำปาง
2022-01-02,11.38875,Tha Li Bridge,น้ำว้า,ขึ่ง,เวียงสา,น่าน
2022-01-02,7.722916667,Tha Nang Bridge,น้ำแม่กวง,ในเมือง,เมือง,ลำพูน
2022-01-02,3.275833333,Wang Phrao,น้ำแม่จาง,วังพร้าว,เกาะคา,ลำปาง
2022-01-03,2.83625,Ban Chiang Dao,แม่น้ำปิง,เชียงดาว,เชียงดาว,เชียงใหม่
2022-01-03,3.19875,Ban Chor Lae,แม่น้ำปิง,ช่อแล,แม่แตง,เชียงใหม่
2022-01-03,4,Ban Don Chai,แม่น้ำวัง,ล้อมแรด,เถิน,ลำปาง
2022-01-03,8.064375,Ban Don Mun,แม่น้ำวัง,บ้านแลง,เมือง,ลำปาง
2022-01-03,3.71,Ban Don Sali,น้ำแม่ลาว,ป่าแดด,แม่สรวย,เชียงราย
2022-01-03,5.12,Ban Hai,แม่น้ำวัง,ปงดอน,แจ้ห่ม,ลำปาง
2022-01-03,2.8,Ban Hong,น้ำแม่ออน,ร้องวัวแดง,สันกำแพง,เชียงใหม่
2022-01-03,2.695416667,Ban Hua Sapan,น้ำแม่จัน,ป่าซาง,แม่จัน,เชียงราย
