Date,Water volume in dams (by %),Name of dam
2022-02-12,63.64,Mae Mok Dam
2022-02-13,52.67,Bhumibol Dam
2022-02-13,43.75,Sirikit Dam
2022-02-13,40.78,Mae Ngat Somboon Chon Dam
2022-02-13,34.01,Mae Kuang Udom Thara Dam
2022-02-13,75.29,Kiew Lom Dam
2022-02-13,72.73,Kiew Kor Ma Dam
2022-02-13,73.82,Khwae Noi Bamrung Dan Dam
2022-02-13,62.85,Mae Mok Dam
2022-02-14,52.54,Bhumibol Dam
2022-02-14,43.7,Sirikit Dam
2022-02-14,40.76,Mae Ngat Somboon Chon Dam
2022-02-14,33.88,Mae Kuang Udom Thara Dam
2022-02-14,75.95,Kiew Lom Dam
2022-02-14,72.02,Kiew Kor Ma Dam
2022-02-14,73.38,Khwae Noi Bamrung Dan Dam
2022-02-14,61.82,Mae Mok Dam
2022-02-15,52.4,Bhumibol Dam
2022-02-15,43.65,Sirikit Dam
2022-02-15,40.69,Mae Ngat Somboon Chon Dam
2022-02-15,33.88,Mae Kuang Udom Thara Dam
2022-02-15,76.75,Kiew Lom Dam
2022-02-15,71.25,Kiew Kor Ma Dam
2022-02-15,73.06,Khwae Noi Bamrung Dan Dam
2022-02-15,61.82,Mae Mok Dam
2022-02-16,52.22,Bhumibol Dam
2022-02-16,43.6,Sirikit Dam
2022-02-16,40.62,Mae Ngat Somboon Chon Dam
2022-02-16,33.39,Mae Kuang Udom Thara Dam
2022-02-16,76.98,Kiew Lom Dam
2022-02-16,71.01,Kiew Kor Ma Dam
2022-02-16,72.62,Khwae Noi Bamrung Dan Dam
2022-02-16,60.95,Mae Mok Dam
2022-02-17,52.02,Bhumibol Dam
2022-02-17,43.54,Sirikit Dam
2022-02-17,40.54,Mae Ngat Somboon Chon Dam
2022-02-17,32.91,Mae Kuang Udom Thara Dam
2022-02-17,76.4,Kiew Lom Dam
2022-02-17,71.01,Kiew Kor Ma Dam
2022-02-17,72.31,Khwae Noi Bamrung Dan Dam
2022-02-17,60,Mae Mok Dam
2022-02-18,51.9,Bhumibol Dam
2022-02-18,43.49,Sirikit Dam
2022-02-18,40.45,Mae Ngat Somboon Chon Dam
2022-02-18,32.48,Mae Kuang Udom Thara Dam
2022-02-18,75.59,Kiew Lom Dam
2022-02-18,70.95,Kiew Kor Ma Dam
2022-02-18,71.88,Khwae Noi Bamrung Dan Dam
2022-02-18,60,Mae Mok Dam
2022-02-19,51.78,Bhumibol Dam
2022-02-19,43.44,Sirikit Dam
2022-02-19,40.19,Mae Ngat Somboon Chon Dam
2022-02-19,32.48,Mae Kuang Udom Thara Dam
2022-02-19,74.52,Kiew Lom Dam
2022-02-19,70.95,Kiew Kor Ma Dam
2022-02-19,71.54,Khwae Noi Bamrung Dan Dam
2022-02-19,59.67,Mae Mok Dam
2022-02-20,51.66,Bhumibol Dam
2022-02-20,43.39,Sirikit Dam
2022-02-20,40.23,Mae Ngat Somboon Chon Dam
2022-02-20,32.58,Mae Kuang Udom Thara Dam
2022-02-20,74.27,Kiew Lom Dam
2022-02-20,71.01,Kiew Kor Ma Dam
2022-02-20,71.14,Khwae Noi Bamrung Dan Dam
2022-02-20,60,Mae Mok Dam
2022-02-21,51.52,Bhumibol Dam
2022-02-21,43.39,Sirikit Dam
2022-02-21,40.35,Mae Ngat Somboon Chon Dam
2022-02-21,32.64,Mae Kuang Udom Thara Dam
2022-02-21,73.69,Kiew Lom Dam
2022-02-21,71.25,Kiew Kor Ma Dam
2022-02-21,70.82,Khwae Noi Bamrung Dan Dam
2022-02-21,59.09,Mae Mok Dam
2022-02-22,51.4,Bhumibol Dam
2022-02-22,43.34,Sirikit Dam
2022-02-22,40.4,Mae Ngat Somboon Chon Dam
2022-02-22,32.67,Mae Kuang Udom Thara Dam
2022-02-22,73.07,Kiew Lom Dam
2022-02-22,71.36,Kiew Kor Ma Dam
2022-02-22,70.5,Khwae Noi Bamrung Dan Dam
2022-02-22,59.09,Mae Mok Dam
2022-02-23,51.28,Bhumibol Dam
2022-02-23,43.31,Sirikit Dam
2022-02-23,40.43,Mae Ngat Somboon Chon Dam
2022-02-23,32.69,Mae Kuang Udom Thara Dam
2022-02-23,72.44,Kiew Lom Dam
2022-02-23,71.36,Kiew Kor Ma Dam
2022-02-23,70.07,Khwae Noi Bamrung Dan Dam
2022-02-23,58.18,Mae Mok Dam
2022-02-24,51.16,Bhumibol Dam
2022-02-24,43.28,Sirikit Dam
2022-02-24,40.43,Mae Ngat Somboon Chon Dam
2022-02-24,32.71,Mae Kuang Udom Thara Dam
2022-02-24,71.95,Kiew Lom Dam
2022-02-24,71.25,Kiew Kor Ma Dam
2022-02-24,69.76,Khwae Noi Bamrung Dan Dam
2022-02-24,58.18,Mae Mok Dam
2022-02-25,51.05,Bhumibol Dam
2022-02-25,43.24,Sirikit Dam
2022-02-25,40.39,Mae Ngat Somboon Chon Dam
2022-02-25,32.72,Mae Kuang Udom Thara Dam
2022-02-25,71.41,Kiew Lom Dam
2022-02-25,71.25,Kiew Kor Ma Dam
2022-02-25,69.44,Khwae Noi Bamrung Dan Dam
2022-02-25,58.18,Mae Mok Dam
2022-02-26,50.94,Bhumibol Dam
2022-02-26,43.21,Sirikit Dam
2022-02-26,40.14,Mae Ngat Somboon Chon Dam
2022-02-26,32.73,Mae Kuang Udom Thara Dam
2022-02-26,70.7,Kiew Lom Dam
2022-02-26,71.13,Kiew Kor Ma Dam
2022-02-26,69.01,Khwae Noi Bamrung Dan Dam
2022-02-26,58.18,Mae Mok Dam
2022-02-27,50.82,Bhumibol Dam
2022-02-27,43.15,Sirikit Dam
2022-02-27,40.01,Mae Ngat Somboon Chon Dam
2022-02-27,32.75,Mae Kuang Udom Thara Dam
2022-02-27,69.92,Kiew Lom Dam
2022-02-27,71.01,Kiew Kor Ma Dam
2022-02-27,68.69,Khwae Noi Bamrung Dan Dam
2022-02-27,58.18,Mae Mok Dam
2022-02-28,50.69,Bhumibol Dam
2022-02-28,43.12,Sirikit Dam
2022-02-28,39.98,Mae Ngat Somboon Chon Dam
2022-02-28,32.76,Mae Kuang Udom Thara Dam
2022-02-28,68.96,Kiew Lom Dam
2022-02-28,71.01,Kiew Kor Ma Dam
2022-02-28,68.37,Khwae Noi Bamrung Dan Dam
2022-02-28,57.27,Mae Mok Dam
2022-03-01,50.53,Bhumibol Dam
2022-03-01,43.09,Sirikit Dam
2022-03-01,39.92,Mae Ngat Somboon Chon Dam
2022-03-01,32.77,Mae Kuang Udom Thara Dam
2022-03-01,68.23,Kiew Lom Dam
2022-03-01,70.84,Kiew Kor Ma Dam
2022-03-01,68.05,Khwae Noi Bamrung Dan Dam
2022-03-01,57.27,Mae Mok Dam
2022-03-02,50.37,Bhumibol Dam
2022-03-02,43.05,Sirikit Dam
