Date,Water volume in dams (by %),Name of dam
2021-01-30,38.95,Bhumibol Dam
2021-01-30,51.54,Sirikit Dam
2021-01-30,49.32,Mae Ngat Somboon Chon Dam
2021-01-30,35.75,Mae Kuang Udom Thara Dam
2021-01-30,61.96,Kiew Lom Dam
2021-01-30,41.81,Kiew Kor Ma Dam
2021-01-30,40.22,Khwae Noi Bamrung Dan Dam
2021-01-30,37.64,Mae Mok Dam
2021-01-31,38.92,Bhumibol Dam
2021-01-31,51.4,Sirikit Dam
2021-01-31,49.34,Mae Ngat Somboon Chon Dam
2021-01-31,35.65,Mae Kuang Udom Thara Dam
2021-01-31,61.82,Kiew Lom Dam
2021-01-31,41.66,Kiew Kor Ma Dam
2021-01-31,40.08,Khwae Noi Bamrung Dan Dam
2021-01-31,37.49,Mae Mok Dam
2021-02-01,38.85,Bhumibol Dam
2021-02-01,51.24,Sirikit Dam
2021-02-01,49.36,Mae Ngat Somboon Chon Dam
2021-02-01,35.59,Mae Kuang Udom Thara Dam
2021-02-01,61.92,Kiew Lom Dam
2021-02-01,41.56,Kiew Kor Ma Dam
2021-02-01,39.83,Khwae Noi Bamrung Dan Dam
2021-02-01,37.49,Mae Mok Dam
2021-02-02,38.79,Bhumibol Dam
2021-02-02,51.1,Sirikit Dam
2021-02-02,49.29,Mae Ngat Somboon Chon Dam
2021-02-02,35.42,Mae Kuang Udom Thara Dam
2021-02-02,61.92,Kiew Lom Dam
2021-02-02,41.32,Kiew Kor Ma Dam
2021-02-02,39.71,Khwae Noi Bamrung Dan Dam
2021-02-02,37.49,Mae Mok Dam
2021-02-03,38.71,Bhumibol Dam
2021-02-03,50.95,Sirikit Dam
2021-02-03,49.2,Mae Ngat Somboon Chon Dam
2021-02-03,35.24,Mae Kuang Udom Thara Dam
2021-02-03,61.92,Kiew Lom Dam
2021-02-03,41.15,Kiew Kor Ma Dam
2021-02-03,39.55,Khwae Noi Bamrung Dan Dam
2021-02-03,37.35,Mae Mok Dam
2021-02-04,38.66,Bhumibol Dam
2021-02-04,50.79,Sirikit Dam
2021-02-04,49.11,Mae Ngat Somboon Chon Dam
2021-02-04,34.93,Mae Kuang Udom Thara Dam
2021-02-04,61.92,Kiew Lom Dam
2021-02-04,41.15,Kiew Kor Ma Dam
2021-02-04,39.55,Khwae Noi Bamrung Dan Dam
2021-02-04,37.35,Mae Mok Dam
2021-02-05,38.59,Bhumibol Dam
2021-02-05,50.64,Sirikit Dam
2021-02-05,48.74,Mae Ngat Somboon Chon Dam
2021-02-05,34.61,Mae Kuang Udom Thara Dam
2021-02-05,61.7,Kiew Lom Dam
2021-02-05,41.15,Kiew Kor Ma Dam
2021-02-05,39.48,Khwae Noi Bamrung Dan Dam
2021-02-05,37.35,Mae Mok Dam
2021-02-06,38.52,Bhumibol Dam
2021-02-06,50.48,Sirikit Dam
2021-02-06,48.36,Mae Ngat Somboon Chon Dam
2021-02-06,34.29,Mae Kuang Udom Thara Dam
2021-02-06,61.65,Kiew Lom Dam
2021-02-06,41.15,Kiew Kor Ma Dam
2021-02-06,39.37,Khwae Noi Bamrung Dan Dam
2021-02-06,37.27,Mae Mok Dam
2021-02-07,38.46,Bhumibol Dam
2021-02-07,50.33,Sirikit Dam
2021-02-07,48.35,Mae Ngat Somboon Chon Dam
2021-02-07,33.93,Mae Kuang Udom Thara Dam
2021-02-07,61.65,Kiew Lom Dam
2021-02-07,41.15,Kiew Kor Ma Dam
2021-02-07,39.3,Khwae Noi Bamrung Dan Dam
2021-02-07,37.27,Mae Mok Dam
2021-02-08,38.4,Bhumibol Dam
2021-02-08,50.18,Sirikit Dam
2021-02-08,48.32,Mae Ngat Somboon Chon Dam
2021-02-08,33.57,Mae Kuang Udom Thara Dam
2021-02-08,61.48,Kiew Lom Dam
2021-02-08,41.12,Kiew Kor Ma Dam
2021-02-08,39.3,Khwae Noi Bamrung Dan Dam
2021-02-08,37.27,Mae Mok Dam
2021-02-09,38.37,Bhumibol Dam
2021-02-09,50.02,Sirikit Dam
2021-02-09,48.51,Mae Ngat Somboon Chon Dam
2021-02-09,33.34,Mae Kuang Udom Thara Dam
2021-02-09,61.48,Kiew Lom Dam
2021-02-09,41.12,Kiew Kor Ma Dam
2021-02-09,39.19,Khwae Noi Bamrung Dan Dam
2021-02-09,37.19,Mae Mok Dam
2021-02-10,38.32,Bhumibol Dam
2021-02-10,49.88,Sirikit Dam
2021-02-10,48.66,Mae Ngat Somboon Chon Dam
2021-02-10,33.14,Mae Kuang Udom Thara Dam
2021-02-10,61.48,Kiew Lom Dam
2021-02-10,40.99,Kiew Kor Ma Dam
2021-02-10,39.09,Khwae Noi Bamrung Dan Dam
2021-02-10,37.19,Mae Mok Dam
2021-02-11,38.26,Bhumibol Dam
2021-02-11,49.79,Sirikit Dam
2021-02-11,48.74,Mae Ngat Somboon Chon Dam
2021-02-11,33.06,Mae Kuang Udom Thara Dam
2021-02-11,61.48,Kiew Lom Dam
2021-02-11,40.88,Kiew Kor Ma Dam
2021-02-11,39.04,Khwae Noi Bamrung Dan Dam
2021-02-11,37.19,Mae Mok Dam
2021-02-12,38.18,Bhumibol Dam
2021-02-12,49.7,Sirikit Dam
2021-02-12,48.74,Mae Ngat Somboon Chon Dam
2021-02-12,32.89,Mae Kuang Udom Thara Dam
2021-02-12,61.48,Kiew Lom Dam
2021-02-12,40.71,Kiew Kor Ma Dam
2021-02-12,38.91,Khwae Noi Bamrung Dan Dam
2021-02-12,37.03,Mae Mok Dam
2021-02-13,38.11,Bhumibol Dam
2021-02-13,49.6,Sirikit Dam
2021-02-13,48.75,Mae Ngat Somboon Chon Dam
2021-02-13,32.73,Mae Kuang Udom Thara Dam
2021-02-13,61.36,Kiew Lom Dam
2021-02-13,40.59,Kiew Kor Ma Dam
2021-02-13,38.81,Khwae Noi Bamrung Dan Dam
2021-02-13,37.03,Mae Mok Dam
2021-02-14,38.04,Bhumibol Dam
2021-02-14,49.51,Sirikit Dam
2021-02-14,48.79,Mae Ngat Somboon Chon Dam
2021-02-14,32.56,Mae Kuang Udom Thara Dam
2021-02-14,61.03,Kiew Lom Dam
2021-02-14,40.43,Kiew Kor Ma Dam
2021-02-14,38.68,Khwae Noi Bamrung Dan Dam
2021-02-14,37.03,Mae Mok Dam
2021-02-15,37.97,Bhumibol Dam
2021-02-15,49.41,Sirikit Dam
2021-02-15,48.78,Mae Ngat Somboon Chon Dam
2021-02-15,32.4,Mae Kuang Udom Thara Dam
2021-02-15,60.69,Kiew Lom Dam
2021-02-15,40.27,Kiew Kor Ma Dam
2021-02-15,38.56,Khwae Noi Bamrung Dan Dam
2021-02-15,37.03,Mae Mok Dam
2021-02-16,37.92,Bhumibol Dam
2021-02-16,49.3,Sirikit Dam
2021-02-16,48.72,Mae Ngat Somboon Chon Dam
2021-02-16,32.08,Mae Kuang Udom Thara Dam
2021-02-16,60.3,Kiew Lom Dam
2021-02-16,40.11,Kiew Kor Ma Dam
2021-02-16,38.4,Khwae Noi Bamrung Dan Dam
2021-02-16,36.95,Mae Mok Dam
2021-02-17,37.88,Bhumibol Dam
2021-02-17,49.18,Sirikit Dam
2021-02-17,48.64,Mae Ngat Somboon Chon Dam
2021-02-17,31.75,Mae Kuang Udom Thara Dam
2021-02-17,59.86,Kiew Lom Dam
2021-02-17,39.99,Kiew Kor Ma Dam
2021-02-17,38.25,Khwae Noi Bamrung Dan Dam
2021-02-17,36.95,Mae Mok Dam
2021-02-18,37.82,Bhumibol Dam
2021-02-18,49.06,Sirikit Dam
2021-02-18,48.54,Mae Ngat Somboon Chon Dam
2021-02-18,31.32,Mae Kuang Udom Thara Dam
2021-02-18,59.27,Kiew Lom Dam
2021-02-18,39.91,Kiew Kor Ma Dam
2021-02-18,38.07,Khwae Noi Bamrung Dan Dam
2021-02-18,36.54,Mae Mok Dam
2021-02-19,37.75,Bhumibol Dam
2021-02-19,48.94,Sirikit Dam
2021-02-19,48.18,Mae Ngat Somboon Chon Dam
2021-02-19,30.95,Mae Kuang Udom Thara Dam
2021-02-19,58.68,Kiew Lom Dam
2021-02-19,39.91,Kiew Kor Ma Dam
2021-02-19,37.81,Khwae Noi Bamrung Dan Dam
2021-02-19,36.54,Mae Mok Dam
2021-02-20,37.7,Bhumibol Dam
2021-02-20,48.8,Sirikit Dam
2021-02-20,47.68,Mae Ngat Somboon Chon Dam
2021-02-20,30.64,Mae Kuang Udom Thara Dam
