province,district,subdistrict,moo,Situation_Date,End Disaster Date,,,
จังหวัด,อำเภอ,ตำบล,หมู่ที่,วันที่เกิดสถานการณ์,วันที่ประกาศยุติสถานการณ์,,,
กรุงเทพมหานคร,คลองสามวา,แขวงบางชัน,,8-ก.ย.-65,24-พ.ย.-65,,,
กรุงเทพมหานคร,คลองสามวา,แขวงสามวาตะวันตก,,8-ก.ย.-65,24-พ.ย.-65,,,
กรุงเทพมหานคร,คลองสามวา,แขวงสามวาตะวันตก,,17-ก.ย.-65,,,,
กรุงเทพมหานคร,คลองสามวา,แขวงสามวาตะวันออก,,8-ก.ย.-65,24-พ.ย.-65,,,
กรุงเทพมหานคร,คันนายาว,แขวงคันนายาว,,10-ก.ย.-65,6-ธ.ค.-65,,,
กรุงเทพมหานคร,จตุจักร,แขวงจันทรเกษม,,17-พ.ค.-65,,,,
กรุงเทพมหานคร,จตุจักร,แขวงจันทรเกษม,,6-ก.ย.-65,,,,
กรุงเทพมหานคร,จอมทอง,แขวงจอมทอง,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,ดอนเมือง,ดอนเมือง,,17-ก.ย.-65,,,,
กรุงเทพมหานคร,ดินแดง,แขวงดินแดง,,17-พ.ค.-65,,,,
กรุงเทพมหานคร,ดินแดง,แขวงดินแดง,,20-ก.ค.-65,,,,
กรุงเทพมหานคร,ดินแดง,แขวงดินแดง,,6-ก.ย.-65,,,,
กรุงเทพมหานคร,ดุสิต,แขวงถนนนครไชยศรี,,17-พ.ค.-65,,,,
กรุงเทพมหานคร,ดุสิต,แขวงวชิรพยาบาล,,17-พ.ค.-65,,,,
กรุงเทพมหานคร,ตลิ่งชัน,แขวงบางระมาด,,17-ก.ย.-65,,,,
กรุงเทพมหานคร,ทุ่งครุ,แขวงทุ่งครุ,,22-ก.ย.-65,,,,
กรุงเทพมหานคร,ทุ่งครุ,แขวงบางมด,,22-ก.ย.-65,,,,
กรุงเทพมหานคร,บางกอกน้อย,แขวงบ้านช่างหล่อ,,17-พ.ค.-65,,,,
กรุงเทพมหานคร,บางขุนเทียน,แขวงท่าข้าม,,22-ก.ย.-65,,,,
กรุงเทพมหานคร,บางขุนเทียน,แขวงแสมดำ,,22-ก.ย.-65,,,,
กรุงเทพมหานคร,บางเขน,แขวงท่าแร้ง,,10-ก.ย.-65,6-ธ.ค.-65,,,
